drop_sequence,distance_calculated,distance_covered_till_drop,origin_warehouse_code,destination_warehouse_code,total_quantity,trip_start_time
1,11,11,C220,25001891,2,2023-02-01T10:50:06.452
2,16,27,C220,10015094,30,2023-02-01T10:50:06.452
1,14,14,C220,10003303,65,2023-02-01T10:52:08.158
1,14,14,C220,10003303,100,2023-02-01T11:26:10.013
1,18,18,C220,10013469,24,2023-02-01T13:18:07.732
2,1,19,C220,10014446,6,2023-02-01T13:18:07.732
3,3,22,C220,10002734,9,2023-02-01T13:18:07.732
4,3,25,C220,10004356,7,2023-02-01T13:18:07.732
5,10,35,C220,10008544,10,2023-02-01T13:18:07.732
6,3,38,C220,10014208,1,2023-02-01T13:18:07.732
7,18,56,C220,10010827,3,2023-02-01T13:18:07.732
1,11,11,C220,10015113,81,2023-02-01T14:26:10.644
1,7,7,C220,10015602,85,2023-02-01T14:34:10.685
1,16,16,C220,10003112,66,2023-02-01T14:38:09.558
1,11,11,C220,10004333,9,2023-02-01T14:50:07.523
2,2,13,C220,25001830,49,2023-02-01T14:50:07.523
3,0,13,C220,25001972,14,2023-02-01T14:50:07.523
4,11,24,C220,10009849,4,2023-02-01T14:50:07.523
1,7,7,C220,10015602,18,2023-02-01T15:08:00
2,1,8,C220,25001832,26,2023-02-01T15:08:00
3,2,10,C220,10005599,4,2023-02-01T15:08:00
4,,10,C220,10015474,4,2023-02-01T15:08:00
5,11,21,C220,10005305,37,2023-02-01T15:08:00
1,2,2,C220,10004122,2,2023-02-01T12:01:00
2,0,2,C220,25002498,9,2023-02-01T12:01:00
3,2,4,C220,10013857,15,2023-02-01T12:01:00
1,8,8,C220,10012912,6,2023-02-01T16:30:10.938
2,4,12,C220,10014526,7,2023-02-01T16:30:10.938
